;0;1
0;noNeed;
1;noNeed;
2;simulation_time;22.900000000000002
3;agents_distance_walked;{63: 26.433218126337692}
4;average_distance_walked;26.433218126337692
5;agents_speeds;{63: 1.1542890011501175}
6;average_speed;1.1542890011501175
7;average_density;1.0
8;average_time;22.900000000000002
9;new_metric;2.5106683348858634
10;cassol_metric;2.0474282544699616
11;normalized_total_simulation_time;22.900000000000002
12;normalized_average_simulation_time;22.900000000000002
13;normalized_average_speed;1.1542890011501175
14;normalized_average_distance_walked;26.433218126337692
15;minimum_simulation_time;22.900000000000002
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-24
21;maximum_agent_speed;1.2000000000001096
22;minimum_agent_speed;0.9130596206142002
23;maximum_distance_walked;26.433218126337692
24;minimum_distance_walked;26.433218126337692
