;0;1
0;noNeed;
1;noNeed;
2;simulation_time;23.18
3;agents_distance_walked;{4: 26.51913700553149}
4;average_distance_walked;26.51913700553149
5;agents_speeds;{4: 1.144052502395664}
6;average_speed;1.144052502395664
7;average_density;1.0
8;average_time;23.18
9;new_metric;2.5024077494319394
10;cassol_metric;2.0404342280950956
11;normalized_total_simulation_time;23.18
12;normalized_average_simulation_time;23.18
13;normalized_average_speed;1.144052502395664
14;normalized_average_distance_walked;26.51913700553149
15;minimum_simulation_time;23.18
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;119
20;maximum_cell_density_id;1-26
21;maximum_agent_speed;1.2000000000000886
22;minimum_agent_speed;0.8318580731780758
23;maximum_distance_walked;26.51913700553149
24;minimum_distance_walked;26.51913700553149
