;0;1
0;noNeed;
1;noNeed;
2;simulation_time;22.92
3;agents_distance_walked;{4: 26.488989059339197}
4;average_distance_walked;26.488989059339197
5;agents_speeds;{4: 1.155715054944991}
6;average_speed;1.155715054944991
7;average_density;1.0
8;average_time;22.92
9;new_metric;2.512213434258862
10;cassol_metric;2.048629108953447
11;normalized_total_simulation_time;22.92
12;normalized_average_simulation_time;22.92
13;normalized_average_speed;1.155715054944991
14;normalized_average_distance_walked;26.488989059339197
15;minimum_simulation_time;22.92
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;376
20;maximum_cell_density_id;1-20
21;maximum_agent_speed;1.200000000000086
22;minimum_agent_speed;0.8989913063769217
23;maximum_distance_walked;26.488989059339197
24;minimum_distance_walked;26.488989059339197
