;0;1
0;noNeed;
1;noNeed;
2;simulation_time;39.26
3;agents_distance_walked;{6: 45.11956534298064}
4;average_distance_walked;45.11956534298064
5;agents_speeds;{6: 1.14925026344831}
6;average_speed;1.14925026344831
7;average_density;1.0
8;average_time;39.26
9;new_metric;2.57302467243874
10;cassol_metric;2.0821676113869443
11;normalized_total_simulation_time;39.26
12;normalized_average_simulation_time;39.26
13;normalized_average_speed;1.14925026344831
14;normalized_average_distance_walked;45.11956534298064
15;minimum_simulation_time;39.26
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;1-1
21;maximum_agent_speed;1.2000000000000886
22;minimum_agent_speed;0.5674902562913143
23;maximum_distance_walked;45.11956534298064
24;minimum_distance_walked;45.11956534298064
