;0;1
0;noNeed;
1;noNeed;
2;simulation_time;39.300000000000004
3;agents_distance_walked;{6: 45.0927743357437}
4;average_distance_walked;45.0927743357437
5;agents_speeds;{6: 1.147398838059636}
6;average_speed;1.147398838059636
7;average_density;1.0
8;average_time;39.300000000000004
9;new_metric;2.5712180928925275
10;cassol_metric;2.0807030714655554
11;normalized_total_simulation_time;39.300000000000004
12;normalized_average_simulation_time;39.300000000000004
13;normalized_average_speed;1.147398838059636
14;normalized_average_distance_walked;45.0927743357437
15;minimum_simulation_time;39.300000000000004
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;0
20;maximum_cell_density_id;0-1
21;maximum_agent_speed;1.2000000000001052
22;minimum_agent_speed;0.5486818297351259
23;maximum_distance_walked;45.0927743357437
24;minimum_distance_walked;45.0927743357437
