;0;1
0;noNeed;
1;noNeed;
2;simulation_time;17.34
3;agents_distance_walked;{6: 20.027258166776637}
4;average_distance_walked;20.027258166776637
5;agents_speeds;{6: 1.1549745194219514}
6;average_speed;1.1549745194219514
7;average_density;1.0
8;average_time;17.34
9;new_metric;2.46172974284348
10;cassol_metric;2.0190189357823196
11;normalized_total_simulation_time;17.34
12;normalized_average_simulation_time;17.34
13;normalized_average_speed;1.1549745194219514
14;normalized_average_distance_walked;20.027258166776637
15;minimum_simulation_time;17.34
16;maximum_average_density;1.0
17;maximum_average_density_frame;0
18;maximum_cell_density;1
19;maximum_cell_density_frame;24
20;maximum_cell_density_id;0-28
21;maximum_agent_speed;1.200000000000087
22;minimum_agent_speed;0.9393183348235908
23;maximum_distance_walked;20.027258166776637
24;minimum_distance_walked;20.027258166776637
